OLD,NEW
COASTAL STORM,COASTAL STORM
Coastal Storm,COASTAL STORM
COASTAL SURGE,COASTAL STORM
COASTALSTORM,COASTAL STORM
COLD,COLD
Cold,COLD
COLD AND WET CONDITIONS,COLD
Cold Temperature,COLD
COLD TEMPERATURES,COLD
COLD WAVE,COLD
COLD WEATHER,COLD
COLD WIND CHILL TEMPERATURES,COLD
COLD/WINDS,COLD
Excessive Cold,COLD
Extended Cold,COLD
EXTREME COLD,COLD
Extreme Cold,COLD
EXTREME/RECORD COLD,COLD
HIGH WINDS/COLD,COLD
PROLONG COLD,COLD
Prolong Cold,COLD
RECORD COLD,COLD
Record Cold,COLD
RECORD COLD AND HIGH WIND,COLD
SEVERE COLD,COLD
Unseasonable Cold,COLD
UNSEASONABLY COLD,COLD
UNUSUALLY COLD,COLD
DAM BREAK,DAM FAILURE
DAM FAILURE,DAM FAILURE
DROUGHT,DROUGHT
DROUGHT/EXCESSIVE HEAT,DROUGHT
EXCESSIVE HEAT/DROUGHT,DROUGHT
HEAT DROUGHT,DROUGHT
HEAT WAVE DROUGHT,DROUGHT
HEAT/DROUGHT,DROUGHT
SNOW DROUGHT,DROUGHT
ABNORMALLY DRY,DRY
DRY,DRY
DRY CONDITIONS,DRY
DRY MIRCOBURST WINDS,DRY
DRY PATTERN,DRY
DRY SPELL,DRY
DRY WEATHER,DRY
DRYNESS,DRY
EXCESSIVELY DRY,DRY
Mild and Dry Pattern,DRY
MILD/DRY PATTERN,DRY
Record dry month,DRY
RECORD DRYNESS,DRY
UNSEASONABLY DRY,DRY
UNSEASONABLY WARM AND DRY,DRY
VERY DRY,DRY
WARM DRY CONDITIONS,DRY
BLOWING DUST,DUST STORM
DUST DEVEL,DUST STORM
DUST DEVIL,DUST STORM
Dust Devil,DUST STORM
DUST DEVIL WATERSPOUT,DUST STORM
DUST STORM,DUST STORM
DUST STORM/HIGH WINDS,DUST STORM
DUSTSTORM,DUST STORM
HIGH WINDS DUST STORM,DUST STORM
SAHARAN DUST,DUST STORM
Saharan Dust,DUST STORM
BEACH EROSIN,EROSION
Beach Erosion,EROSION
BEACH EROSION,EROSION
COASTAL EROSION,EROSION
BRUSH FIRE,FIRE
BRUSH FIRES,FIRE
FOREST FIRES,FIRE
GRASS FIRES,FIRE
LIGHTNING FIRE,FIRE
RED FLAG FIRE WX,FIRE
WILD FIRES,FIRE
WILD/FOREST FIRE,FIRE
WILD/FOREST FIRES,FIRE
WILDFIRE,FIRE
WILDFIRES,FIRE
 COASTAL FLOOD,FLOOD
 FLASH FLOOD,FLOOD
BEACH EROSION/COASTAL FLOOD,FLOOD
BEACH FLOOD,FLOOD
BREAKUP FLOODING,FLOOD
COASTAL  FLOODING/EROSION,FLOOD
COASTAL FLOOD,FLOOD
Coastal Flood,FLOOD
COASTAL FLOODING,FLOOD
Coastal Flooding,FLOOD
coastal flooding,FLOOD
COASTAL FLOODING/EROSION,FLOOD
COASTAL/TIDAL FLOOD,FLOOD
COASTALFLOOD,FLOOD
CSTL FLOODING/EROSION,FLOOD
Erosion/Cstl Flood,FLOOD
FLASH FLOOD,FLOOD
FLASH FLOOD - HEAVY RAIN,FLOOD
FLASH FLOOD FROM ICE JAMS,FLOOD
FLASH FLOOD LANDSLIDES,FLOOD
FLASH FLOOD WINDS,FLOOD
FLASH FLOOD/,FLOOD
FLASH FLOOD/ FLOOD,FLOOD
FLASH FLOOD/ STREET,FLOOD
FLASH FLOOD/FLOOD,FLOOD
FLASH FLOOD/HEAVY RAIN,FLOOD
FLASH FLOOD/LANDSLIDE,FLOOD
FLASH FLOODING,FLOOD
FLASH FLOODING/FLOOD,FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLOOD
FLASH FLOODS,FLOOD
FLASH FLOOODING,FLOOD
FLOOD,FLOOD
Flood,FLOOD
FLOOD & HEAVY RAIN,FLOOD
FLOOD FLASH,FLOOD
FLOOD FLOOD/FLASH,FLOOD
FLOOD WATCH/,FLOOD
FLOOD/FLASH,FLOOD
FLOOD/FLASH FLOOD,FLOOD
Flood/Flash Flood,FLOOD
FLOOD/FLASH FLOODING,FLOOD
FLOOD/FLASH/FLOOD,FLOOD
FLOOD/FLASHFLOOD,FLOOD
FLOOD/RAIN/WIND,FLOOD
FLOOD/RAIN/WINDS,FLOOD
FLOOD/RIVER FLOOD,FLOOD
Flood/Strong Wind,FLOOD
FLOODING,FLOOD
FLOODING/HEAVY RAIN,FLOOD
FLOODS,FLOOD
HAIL FLOODING,FLOOD
HEAVY RAIN AND FLOOD,FLOOD
HEAVY RAIN/FLOODING,FLOOD
HEAVY RAIN/MUDSLIDES/FLOOD,FLOOD
HEAVY RAIN/URBAN FLOOD,FLOOD
HEAVY RAIN; URBAN FLOOD WINDS;,FLOOD
HEAVY RAINS/FLOODING,FLOOD
HEAVY SNOW/HIGH WINDS & FLOOD,FLOOD
HIGH WINDS/COASTAL FLOOD,FLOOD
HIGH WINDS/FLOODING,FLOOD
HIGHWAY FLOODING,FLOOD
Ice jam flood (minor,FLOOD
ICE JAM FLOODING,FLOOD
ICE STORM/FLASH FLOOD,FLOOD
LAKE FLOOD,FLOOD
LAKESHORE FLOOD,FLOOD
LANDSLIDE/URBAN FLOOD,FLOOD
LOCAL FLASH FLOOD,FLOOD
LOCAL FLOOD,FLOOD
MAJOR FLOOD,FLOOD
MINOR FLOOD,FLOOD
MINOR FLOODING,FLOOD
Minor Flooding,FLOOD
MUD SLIDES URBAN FLOODING,FLOOD
RIVER AND STREAM FLOOD,FLOOD
RIVER FLOOD,FLOOD
RIVER FLOODING,FLOOD
River Flooding,FLOOD
RURAL FLOOD,FLOOD
SMALL STREAM,FLOOD
SMALL STREAM AND,FLOOD
SMALL STREAM AND URBAN FLOOD,FLOOD
SMALL STREAM AND URBAN FLOODIN,FLOOD
SMALL STREAM FLOOD,FLOOD
SMALL STREAM FLOODING,FLOOD
SMALL STREAM URBAN FLOOD,FLOOD
SMALL STREAM/URBAN FLOOD,FLOOD
Sml Stream Fld,FLOOD
SNOWMELT FLOODING,FLOOD
STREAM FLOODING,FLOOD
STREET FLOOD,FLOOD
STREET FLOODING,FLOOD
TIDAL FLOOD,FLOOD
Tidal Flooding,FLOOD
TIDAL FLOODING,FLOOD
URBAN AND SMALL,FLOOD
URBAN AND SMALL STREAM,FLOOD
URBAN AND SMALL STREAM FLOOD,FLOOD
URBAN AND SMALL STREAM FLOODIN,FLOOD
URBAN FLOOD,FLOOD
Urban flood,FLOOD
Urban Flood,FLOOD
URBAN FLOOD LANDSLIDE,FLOOD
URBAN FLOODING,FLOOD
Urban Flooding,FLOOD
URBAN FLOODS,FLOOD
URBAN SMALL,FLOOD
URBAN SMALL STREAM FLOOD,FLOOD
URBAN/SMALL,FLOOD
URBAN/SMALL FLOODING,FLOOD
URBAN/SMALL STREAM,FLOOD
URBAN/SMALL STREAM  FLOOD,FLOOD
URBAN/SMALL STREAM FLOOD,FLOOD
URBAN/SMALL STREAM FLOODING,FLOOD
URBAN/SMALL STRM FLDG,FLOOD
URBAN/SML STREAM FLD,FLOOD
URBAN/SML STREAM FLDG,FLOOD
URBAN/STREET FLOODING,FLOOD
DENSE FOG,FOG
FOG,FOG
FOG AND COLD TEMPERATURES,FOG
Freezing Fog,FOG
FREEZING FOG,FOG
Ice Fog,FOG
PATCHY DENSE FOG,FOG
VOG,FOG
AGRICULTURAL FREEZE,FROST/FREEZE
Cold and Frost,FROST/FREEZE
COLD AND FROST,FROST/FREEZE
COLD/WIND CHILL,FROST/FREEZE
DAMAGING FREEZE,FROST/FREEZE
Damaging Freeze,FROST/FREEZE
EARLY FREEZE,FROST/FREEZE
EARLY FROST,FROST/FREEZE
Early Frost,FROST/FREEZE
EXTREME COLD/WIND CHILL,FROST/FREEZE
EXTREME WINDCHILL,FROST/FREEZE
FIRST FROST,FROST/FREEZE
FREEZE,FROST/FREEZE
Freeze,FROST/FREEZE
FREEZING DRIZZLE,FROST/FREEZE
Freezing Drizzle,FROST/FREEZE
